date,pm2_5,pm2_5_min,pm2_5_max
2024-12-06,2.64,1.3,5.5
2024-12-07,9.1,5.8,15.5
2024-12-08,14.43,6.6,31.4
2024-12-09,23.42,11.3,43.3
2024-12-10,23.22,9.9,38.1
2024-12-11,7.32,3.1,11.8
2024-12-12,2.5,1.6,5.0
2024-12-13,7.43,2.7,13.3
2024-12-14,14.85,7.9,37.6
2024-12-15,16.0,10.7,28.1
2024-12-16,12.18,8.0,16.8
2024-12-17,10.27,4.1,17.9
2024-12-18,16.49,8.9,49.4
2024-12-19,11.45,1.3,37.4
2024-12-20,15.07,12.0,19.8
2024-12-21,6.02,2.9,10.2
2024-12-22,5.17,3.0,10.0
2024-12-23,15.2,11.7,28.6
2024-12-24,18.47,7.1,40.7
2024-12-25,15.8,6.2,22.0
2024-12-26,24.01,16.7,61.0
2024-12-27,51.49,31.9,73.8
2024-12-28,33.97,20.1,69.2
2024-12-29,21.33,10.4,31.0
2024-12-30,5.48,2.5,10.5
2024-12-31,13.19,8.5,32.2
